"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Harmonia","Ryan","M","0","Smith","655.77751","free","San Jose-Sunnyvale-Santa Clara, CA","583","Sehr kosmisch","26"
"The Prodigy","Ryan","M","1","Smith","260.07465","free","San Jose-Sunnyvale-Santa Clara, CA","583","The Big Gundown","26"
"Train","Ryan","M","2","Smith","205.45261","free","San Jose-Sunnyvale-Santa Clara, CA","583","Marry Me","26"
"Sony Wonder","Samuel","M","0","Gonzalez","218.06975","free","Houston-The Woodlands-Sugar Land, TX","597","Blackbird","61"
"Van Halen","Tegan","F","2","Levine","289.38404","paid","Portland-South Portland, ME","602","Best Of Both Worlds (Remastered Album Version)","80"
"Magic Sam","Tegan","F","3","Levine","132.04853","paid","Portland-South Portland, ME","602","Call Me If You Need Me","80"
"Edward Sharpe & The Magnetic Zeros","Tegan","F","4","Levine","306.31138","paid","Portland-South Portland, ME","602","Home","80"
"Usher featuring will.i.am","Tegan","F","5","Levine","395.72853","paid","Portland-South Portland, ME","602","OMG","80"
"Helen Reddy","Tegan","F","7","Levine","176.50893","paid","Portland-South Portland, ME","602","Candle On The Water","80"
"Taylor Swift","Tegan","F","8","Levine","201.06404","paid","Portland-South Portland, ME","602","Our Song","80"
"Sean Paul","Tegan","F","9","Levine","245.34159","paid","Portland-South Portland, ME","602","Baby Boy [feat. Beyonce]","80"
"Soundgarden","Lily","F","0","Koch","272.19546","paid","Chicago-Naperville-Elgin, IL-IN-WI","582","Black Hole Sun","15"
"The Killers","Tegan","F","10","Levine","360.75057","paid","Portland-South Portland, ME","602","Human","80"
"Amy Winehouse","Lily","F","1","Koch","165.11955","paid","Chicago-Naperville-Elgin, IL-IN-WI","582","Addicted","15"
"Steve Anderson","Lily","F","2","Koch","265.06404","paid","Chicago-Naperville-Elgin, IL-IN-WI","582","Air","15"
"Rob Zombie","Lily","F","3","Koch","220.13342","paid","Chicago-Naperville-Elgin, IL-IN-WI","582","Superbeast","15"
"Deadmau5 & Kaskade","Lily","F","4","Koch","595.56526","paid","Chicago-Naperville-Elgin, IL-IN-WI","582","I Remember","15"
"Shania Twain","Ryan","M","0","Smith","213.7073","free","San Jose-Sunnyvale-Santa Clara, CA","607","Don't Be Stupid (You Know I Love You)","26"
"Los Campesinos","Ryan","M","1","Smith","138.10893","free","San Jose-Sunnyvale-Santa Clara, CA","607","We throw parties_ you throw knives","26"
"Ill Nino","Chloe","F","1","Cuevas","188.9171","paid","San Francisco-Oakland-Hayward, CA","606","How Can I Live (Spanish version) (Album Version)","49"
"Mia X","Chloe","F","2","Cuevas","236.09424","paid","San Francisco-Oakland-Hayward, CA","606","Thugs Like Me","49"
"Rage Against The Machine","Chloe","F","3","Cuevas","314.40934","paid","San Francisco-Oakland-Hayward, CA","606","Killing In The Name","49"
"Asia 2001","Chloe","F","4","Cuevas","150.30812","paid","San Francisco-Oakland-Hayward, CA","606","Epilogue","49"
"Muse","Chloe","F","5","Cuevas","228.93669","paid","San Francisco-Oakland-Hayward, CA","606","Endlessly","49"
"Rise Against","Chloe","F","6","Cuevas","221.17832","paid","San Francisco-Oakland-Hayward, CA","606","Torches","49"
"Modest Mouse","Mohammad","M","3","Rodriguez","259.47383","free","Sacramento--Roseville--Arden-Arcade, CA","591","The Good Times Are Killing Me","88"
"Marc Anthony","Chloe","F","7","Cuevas","314.43546","paid","San Francisco-Oakland-Hayward, CA","606","Te Conozco Bien","49"
